tagId,time,type,x1,y1
57590,6:25:37,nurse desk,40.83968717,20.49073685
57586,6:25:37,nurse desk,34.73093839,21.88023235
62026,6:25:37,head nurse,36.41769099,21.45732522
62024,6:25:37,doctor,45.84439621,17.74797603
57589,6:25:38,nurse desk,53.25536986,17.00979025
57594,6:25:38,nurse desk,59.42807131,14.72176164
57588,6:25:38,others,45.43864905,17.82727067
57592,6:25:38,Medical Rolling Cart,42.4500808,18.90578406
62021,6:25:39,static,36.95510086,21.14393898
62047,6:25:39,static,43.83322644,19.12178136
62038,6:25:39,nurse,44.38330859,17.57503892
62028,6:25:39,others,43.99709089,18.40820368
62018,6:25:39,nurse,45.43120771,15.86568231
62022,6:25:39,physiotherapist,42.52087121,19.64054453
57599,6:25:39,nurse,43.50920748,19.04331069
62038,6:25:41,nurse,43.34798615,19.45589966
57598,6:25:41,nurse,44.03636316,18.41695694
57588,6:25:42,others,41.63428974,20.61752887
57590,6:25:42,nurse desk,40.61651171,20.45122245
57596,6:25:42,Medical Rolling Cart,43.83935828,18.31864407
57598,6:25:42,nurse,43.32555331,18.79278093
62038,6:25:42,nurse,43.32537999,18.5111399
62028,6:25:43,others,43.02650642,19.36826638
62035,6:25:43,doctor,44.39920968,18.90922041
62040,6:25:43,static,43.86763199,19.56380955
62022,6:25:43,physiotherapist,43.16551262,19.57261195
57599,6:25:43,nurse,42.6461921,19.84698166
62039,6:25:43,doctor,44.82358711,17.54925879
62042,6:25:43,pharmacist,43.58251702,19.12568856
62031,6:25:43,nurse,43.59993665,18.92310918
62026,6:25:43,head nurse,43.29280182,18.94366974
62036,6:25:43,nurse,45.87943535,16.66751579
62020,6:25:43,doctor,44.47404958,17.59448258
62029,6:25:43,doctor,42.97389192,19.24935876
62037,6:25:43,nurse,43.02153153,19.58368831
62024,6:25:43,doctor,41.93312034,19.61529024
62023,6:25:43,nurse,42.23614008,20.0197593
62045,6:25:43,nurse,43.0492915,18.7712207
62046,6:25:43,physiotherapist,46.35032405,16.24536304
62043,6:25:43,doctor,43.86894729,18.25990776
57600,6:25:43,nurse desk,44.90395261,17.6797749
57595,6:25:43,life supporter machine,42.10752083,18.88658785
62033,6:25:43,pharmacist,43.30006373,19.19535872
57586,6:25:43,nurse desk,42.63482022,18.71774583
57587,6:25:43,nurse,42.72687656,19.9259416
57588,6:25:43,others,43.83203953,19.24745583
57591,6:25:43,life supporter machine,40.60652784,20.76909236
57594,6:25:43,nurse desk,41.79963291,20.10207076
57589,6:25:43,nurse desk,43.42411215,19.22855106
57593,6:25:43,life supporter machine,44.36331139,17.87391378
57592,6:25:43,Medical Rolling Cart,41.91197265,18.86916683
62019,6:25:43,cleaning staff,42.45567138,19.57254333
57590,6:25:43,nurse desk,41.08189761,20.19205994
57596,6:25:43,Medical Rolling Cart,41.39276397,19.94039431
57597,6:25:43,nurse desk,41.30752587,19.97519349
62040,6:25:43,static,43.22229967,19.61453502
57598,6:25:43,nurse,42.62568877,19.44656791
62038,6:25:43,nurse,43.07194693,18.63241787
62022,6:25:44,physiotherapist,43.08263202,18.79731926
62046,6:25:44,physiotherapist,44.42667058,19.36184832
62035,6:25:44,doctor,45.51685966,17.31820321
62028,6:25:44,others,43.07415809,19.01498586
62043,6:25:44,doctor,43.50749781,18.97411166
62039,6:25:44,doctor,44.04711299,17.84044224
62031,6:25:44,nurse,45.13147205,17.32943844
62026,6:25:44,head nurse,45.3368524,17.82656073
62020,6:25:44,doctor,43.72654531,18.18118721
62027,6:25:44,others,42.72535217,19.97938902
62037,6:25:44,nurse,42.54436337,19.79056629
57599,6:25:44,nurse,42.53475835,19.98931815
62047,6:25:44,static,43.72661084,19.11305608
62023,6:25:44,nurse,41.58751312,20.18472788
62045,6:25:44,nurse,43.05307362,19.38956019
57586,6:25:44,nurse desk,42.00550164,18.46114035
57591,6:25:44,life supporter machine,41.55792262,19.63783445
57593,6:25:44,life supporter machine,43.93180365,18.84276523
57592,6:25:44,Medical Rolling Cart,42.39625048,18.58651783
57588,6:25:44,others,44.56795264,17.71852667
57589,6:25:44,nurse desk,42.68862724,19.19043175
57590,6:25:44,nurse desk,40.96564955,20.22133084
57596,6:25:44,Medical Rolling Cart,43.61217437,17.98223407
57597,6:25:45,nurse desk,43.44368301,18.67165523
62038,6:25:45,nurse,43.7893323,18.30639476
62018,6:25:45,nurse,42.81882694,18.68798552
62022,6:25:45,physiotherapist,42.7293354,19.51667474
62028,6:25:45,others,43.83802885,18.84577401
62040,6:25:45,static,43.54957632,18.82672203
62043,6:25:45,doctor,44.54360037,17.19816549
62039,6:25:45,doctor,44.56355438,17.83390475
62031,6:25:45,nurse,43.06652155,18.65746797
62045,6:25:45,nurse,43.69288372,18.42970745
62046,6:25:45,physiotherapist,42.45044383,20.13704488
62042,6:25:45,pharmacist,44.55598764,17.348568
62026,6:25:45,head nurse,44.35682687,18.10961001
62020,6:25:45,doctor,43.42810041,18.47558266
62029,6:25:45,doctor,43.7623009,18.44251634
62037,6:25:45,nurse,44.00686793,18.30154305
62023,6:25:45,nurse,42.13638054,19.23404747
62024,6:25:45,doctor,42.38923514,19.04783316
57595,6:25:45,life supporter machine,41.26958429,19.96805983
62047,6:25:45,static,44.39870475,17.82095504
62030,6:25:45,doctor,42.91081928,19.13450093
57599,6:25:45,nurse,43.34706786,19.24807744
62033,6:25:45,pharmacist,44.53715039,17.88501246
57591,6:25:45,life supporter machine,41.79942284,19.12175939
57586,6:25:45,nurse desk,43.77040043,16.51318545
62021,6:25:45,static,37.92023276,20.08377159
57594,6:25:45,nurse desk,43.47884084,18.29271892
57593,6:25:45,life supporter machine,46.96641979,14.9044113
57589,6:25:45,nurse desk,44.25602339,17.65955775
57588,6:25:45,others,44.07628138,18.72633674
57590,6:25:45,nurse desk,40.52546846,21.08632276
57596,6:25:45,Medical Rolling Cart,42.12602382,19.28231759
57598,6:25:45,nurse,45.86396419,16.31877002
62038,6:25:45,nurse,43.88919039,18.01473511
57586,6:25:46,nurse desk,43.87821977,17.57381321
57594,6:25:46,nurse desk,44.52048458,18.64846134
57589,6:25:47,nurse desk,41.54246421,20.92438111
57588,6:25:47,others,40.92101874,20.56673917
57593,6:25:47,life supporter machine,43.72223471,19.35643638
57594,6:25:47,nurse desk,42.49476378,19.70948165
